Год;Период;МВЛ;ДЗ;СНГ;Внутренние;Местные;Итого
2001;1;654 917;577 183;77 734;819 249;84 625;1 474 166
2001;2;515 030;437 017;78 013;839 389;92 893;1 354 419
2001;3;614 777;523 261;91 516;950 690;99 640;1 565 467
2001;4;674 167;569 724;104 443;1 065 775;117 911;1 739 942
2001;5;821 865;721 100;100 765;1 126 313;123 818;1 948 178
2001;6;1 054 503;909 043;145 460;1 574 812;148 661;2 629 315
2001;7;1 268 796;1 089 525;179 271;1 803 171;160 213;3 071 967
2001;8;1 389 558;1 195 410;194 148;1 986 437;168 186;3 375 995
2001;9;1 091 432;951 885;139 547;1 468 005;138 272;2 559 437
2001;10;737 875;611 638;126 237;1 236 862;141 297;1 974 737
2001;11;595 304;485 272;110 032;1 084 511;144 148;1 679 815
2001;12;620 510;507 918;112 592;1 072 074;132 316;1 692 584
2002;1;685 015;596 637;88 378;912 176;108 551;1 597 191
2002;2;521 084;434 275;86 809;906 219;101 792;1 427 303
2002;3;684 655;578 220;106 435;1 036 086;102 319;1 720 741
2002;4;704 267;591 531;112 736;1 128 428;114 027;1 832 695
2002;5;960 521;833 185;127 336;1 189 937;139 412;2 150 458
2002;6;1 166 619;994 746;171 873;1 586 076;151 224;2 752 695
2002;7;1 340 999;1 130 348;210 651;1 828 895;161 281;3 169 894
2002;8;1 530 890;1 303 670;227 220;1 944 855;173 716;3 475 745
2002;9;1 198 140;1 039 290;158 850;1 459 676;140 802;2 657 816
2002;10;873 417;742 310;131 107;1 236 146;132 951;2 109 563
2002;11;719 703;604 974;114 729;1 097 464;137 487;1 817 167
2002;12;691 023;567 224;123 799;1 117 605;124 487;1 808 628
2003;1;771 867;676 911;94 956;956 837;105 971;1 728 704
2003;2;573 944;484 957;88 987;987 847;98 505;1 561 791
2003;3;660 264;554 282;105 982;1 094 224;109 673;1 754 488
2003;4;676 143;550 727;125 416;1 211 186;132 214;1 887 329
2003;5;976 545;828 077;148 468;1 256 247;139 189;2 232 792
2003;6;1 229 115;1 035 822;193 293;1 702 823;159 763;2 931 938
2003;7;1 468 830;1 227 296;241 534;2 032 687;177 788;3 501 517
2003;8;1 777 338;1 488 209;289 129;2 240 923;194 702;4 018 261
2003;9;1 396 435;1 184 372;212 063;1 706 542;153 588;3 102 977
2003;10;1 093 481;917 068;176 413;1 432 657;154 130;2 526 138
2003;11;872 796;720 262;152 534;1 246 218;143 244;2 119 014
2003;12;817 494;664 275;153 219;1 237 566;126 729;2 055 060
2004;1;932 414;812 274;120 140;1 060 133;97 638;1 992 547
2004;2;723 695;606 164;117 531;1 111 049;96 291;1 834 744
2004;3;831 340;692 122;139 218;1 217 059;105 274;2 048 399
2004;4;937 509;766 821;170 688;1 360 213;118 212;2 297 722
2004;5;1 368 375;1 176 383;191 992;1 483 311;137 084;2 851 686
2004;6;1 584 478;1 334 492;249 986;1 937 678;168 270;3 522 156
2004;7;1 858 043;1 540 340;317 703;2 327 157;175 786;4 185 200
2004;8;2 065 792;1 691 251;374 541;2 499 650;177 569;4 565 442
2004;9;1 587 286;1 326 099;261 187;1 795 450;139 535;3 382 736
2004;10;1 227 088;1 018 921;208 167;1 461 795;128 059;2 688 883
2004;11;906 417;738 129;168 288;1 297 850;132 233;2 204 267
2004;12;875 741;702 908;172 833;1 331 462;124 311;2 207 203
2005;1;970 078;840 862;129 216;1 059 764;85 726;2 029 842
2005;2;736 752;620 953;115 799;1 088 729;90 795;1 825 481
2005;3;857 309;722 586;134 723;1 230 142;99 646;2 087 451
2005;4;1 023 212;842 256;180 956;1 368 354;113 893;2 391 566
2005;5;1 351 390;1 158 155;193 235;1 471 069;132 544;2 822 459
2005;6;1 699 394;1 454 474;244 920;1 913 869;155 099;3 613 263
2005;7;2 004 245;1 696 112;308 133;2 262 190;163 776;4 266 435
2005;8;2 159 113;1 803 855;355 258;2 442 781;190 430;4 601 894
2005;9;1 761 775;1 509 708;252 067;1 927 434;151 932;3 689 209
2005;10;1 347 845;1 138 992;208 853;1 580 913;136 998;2 928 758
2005;11;1 023 065;837 256;185 809;1 409 912;143 873;2 432 977
2005;12;949 186;759 233;189 953;1 450 555;144 201;2 399 741
2006;1;1 066 096;926 843;139 253;1 137 506;92 873;2 203 602
2006;2;780 660;648 919;131 741;1 184 803;94 918;1 965 463
2006;3;936 512;773 519;162 993;1 366 595;108 510;2 303 107
2006;4;1 153 440;951 044;202 396;1 522 515;122 779;2 675 955
2006;5;1 414 588;1 188 361;226 227;1 636 186;150 640;3 050 774
2006;6;1 856 267;1 586 495;269 772;2 087 886;177 895;3 944 153
2006;7;2 141 859;1 814 296;327 563;2 435 077;175 160;4 576 936
2006;8;2 308 620;1 926 563;382 057;2 602 138;184 885;4 910 758
2006;9;1 944 934;1 650 111;294 823;2 036 275;144 767;3 981 209
2006;10;1 383 392;1 142 470;240 922;1 684 910;139 866;3 068 302
2006;11;1 149 748;935 253;214 495;1 514 718;140 152;2 664 466
2006;12;1 126 685;905 773;220 912;1 558 552;133 707;2 685 237
2007;1;1 281 300;1 102 075;179 225;1 330 561;94 269;2 611 861
2007;2;948 435;775 621;172 814;1 348 667;95 330;2 297 102
2007;3;1 169 823;972 790;197 033;1 541 792;107 216;2 711 615
2007;4;1 313 164;1 092 652;220 512;1 702 986;124 370;3 016 150
2007;5;1 678 527;1 438 704;239 823;1 835 731;134 848;3 514 258
2007;6;2 246 968;1 955 199;291 769;2 354 598;156 446;4 601 566
2007;7;2 537 162;2 179 993;357 169;2 850 709;156 600;5 387 871
2007;8;2 722 811;2 322 509;400 302;2 979 787;173 964;5 702 598
